"GM18558","GM18960","GM19240","Guchi","Jaqo","Jingjing"
"LTR85c",65,33,0,231,239,161
"LTR86A1",189,44,11,117,72,16
"LTR86A2",17,21,0,9,11,5
"LTR86B1",23,5,0,33,72,64
"LTR86B2",8,3,41,24,5,0
"LTR86C",39,13,23,17,13,5
"LTR87",159,66,29,28,60,16
"LTR88a",54,70,23,93,112,19
"LTR88b",68,52,160,146,258,57
"LTR88c",22,14,14,64,136,55
"LTR89",145,61,46,207,303,112
"LTR8",568,301,388,373,631,500
"LTR8A",394,181,141,243,263,175
"LTR90A",53,42,0,16,19,9
"LTR90B",26,14,0,10,24,0
"LTR9",159,93,59,411,504,83
"LTR9B",38,20,37,171,143,34
"Looper",398,148,86,117,60,49
"MADE1",333,179,310,406,340,188
"MADE2",187,79,54,215,301,86
"MARNA",817,537,672,421,580,121
"MER101-int",307,150,13,284,587,211
"MER101",95,38,38,14,84,16
"MER101B",23,4,4,44,30,22
"MER102a",402,194,11,245,397,40
"MER102b",600,294,207,295,369,64
"MER102c",381,223,301,329,445,139
"MER103C",1068,603,543,1047,1734,747
"MER104",333,166,257,136,86,20
"MER105",156,57,42,59,49,100
"MER106A",62,10,70,16,36,16
"MER106B",97,38,24,81,86,25
"MER107",91,34,0,14,16,0
"MER110-int",42,16,0,51,104,40
"MER110",53,22,0,56,36,10
"MER110A",32,25,17,143,60,31
"MER112",624,305,285,717,800,1516
"MER113",739,369,371,536,495,363
"MER113A",191,113,84,278,512,138
"MER115",175,80,102,405,443,202
"MER117",388,219,108,431,513,98
"MER119",168,99,70,81,107,243
"MER11A",148,68,65,176,166,248
"MER11B",219,256,124,146,158,34
"MER11C",797,310,419,466,736,400
"MER11D",56,43,28,25,22,1
"MER121",18,5,0,87,110,25
"MER123",1,0,0,32,28,0
"MER124",70,24,35,82,87,24
"MER125",13,0,0,0,9,0
"MER126",19,17,47,2,8,0
"MER127",10,0,0,34,41,10
"MER129",5,0,0,3,3,0
"MER130",3,0,0,33,18,0
"MER131",24,12,16,111,138,28
"MER132",1,3,0,0,2,0
"MER133A",4,1,0,3,0,0
"MER133B",9,3,0,1,2,0
"MER134",0,0,0,25,4,6
"MER135",38,6,0,41,25,3
"MER136",0,0,0,0,1,0
"MER1A",792,386,271,9037,3246,1913
"MER1B",1243,808,416,2470,2520,1424
"MER20",3090,1498,1598,1575,2181,1232
"MER20B",551,295,78,475,608,547
"MER21-int",79,44,5,53,64,35
"MER21A",536,244,229,247,228,77
"MER21B",535,242,219,431,650,176
"MER21C",970,560,688,1518,3510,1623
"MER2",1477,700,476,842,1190,241
"MER2B",185,132,60,81,100,48
"MER30",653,305,321,316,385,241
"MER30B",13,6,0,6,18,3
"MER31-int",398,396,347,74,79,44
"MER31A",138,65,68,178,217,52
"MER31B",214,103,68,158,231,84
"MER33",1699,891,675,907,1236,255
"MER34-int",80,34,17,10,12,35
"MER34",136,76,120,122,85,64
"MER34A1",77,48,53,96,105,71
"MER34A",155,63,88,129,194,170
"MER34B-int",248,205,71,41,53,57
"MER34B",58,22,30,328,364,77
"MER34C2",105,35,14,66,48,34
"MER34C",14,1,12,8,7,0
"MER34C_",220,124,9,142,171,38
"MER34D",29,8,12,33,47,0
"MER39",322,179,140,359,469,137
"MER39B",184,105,78,190,193,67
"MER3",1585,835,650,855,1080,363
"MER4-int",438,137,166,694,1325,2622
"MER41-int",266,167,126,456,388,182
"MER41A",370,178,187,311,576,237
"MER41B",316,160,79,742,1018,919
"MER41C",88,38,34,115,104,32
"MER41D",83,57,32,72,157,22
"MER41E",36,42,51,30,196,0
"MER41G",30,10,9,16,28,3
"MER44A",340,202,91,381,417,402
"MER44B",282,164,174,259,332,281
"MER44C",310,369,276,198,330,59
"MER44D",82,47,43,57,130,70
"MER45A",305,144,277,244,337,183
"MER45B",97,95,73,135,154,66
"MER45C",101,29,11,149,149,0
"MER45R",51,28,19,40,73,96
"MER46C",555,303,248,277,336,544
"MER47A",539,227,97,504,573,198
"MER47B",131,45,30,52,204,9
"MER47C",52,34,37,66,59,2
"MER48",24,18,9,16,14,0
"MER49",395,221,38,174,305,260
"MER4A1",308,113,143,678,1275,332
"MER4A1_",97,17,22,45,46,5
"MER4A",282,112,132,125,244,49
"MER4B-int",138,81,81,210,231,81
"MER4B",162,129,151,246,254,244
"MER4C",148,79,101,84,109,29
"MER4D0",79,34,33,84,88,39
"MER4D1",174,75,1,799,766,1580
"MER4D",181,58,17,97,196,204
"MER4E1",149,91,69,230,270,82
"MER4E",111,62,70,143,86,55
"MER50-int",22,19,3,49,97,9
"MER50",240,161,120,289,423,86
"MER50B",75,32,6,68,108,34
"MER50C",18,10,17,0,0,0
"MER51-int",80,30,0,425,622,464
"MER51A",151,82,18,183,283,251
"MER51B",69,33,32,37,53,34
"MER51C",43,26,1,23,30,16
"MER51D",51,23,40,9,3,0
"MER51E",32,16,8,35,71,49
"MER52-int",20,18,0,83,80,43
"MER52A",312,132,41,654,818,466
"MER52C",133,77,126,215,204,21
"MER52D",52,19,1,78,100,28
"MER53",383,166,154,537,836,908
"MER54A",291,91,123,71,125,70
"MER54B",21,16,0,74,171,9
"MER57-int",213,78,124,469,671,140
"MER57A-int",281,119,102,333,445,171
"MER57A1",76,65,75,198,269,47
"MER57B1",74,28,110,60,108,66
"MER57B2",74,21,32,177,231,59
"MER57C1",58,40,31,12,23,0
"MER57C2",34,8,16,50,101,55
"MER57D",23,30,62,68,144,14
"MER57E1",43,28,43,59,40,12
"MER57E2",4,4,0,0,1,0
"MER57E3",94,37,9,14,26,8
"MER57F",220,206,14,34,99,4
"MER58A",1883,1064,688,1227,1296,828
"MER58B",1103,526,617,807,1082,259
"MER58C",314,140,140,578,566,116
"MER58D",111,43,30,60,65,28
"MER5A1",1643,902,767,1764,2918,2245
"MER5A",3688,1881,1469,3069,3586,2000
"MER5B",2874,1773,1157,1895,2398,1303
"MER5C1",69,30,64,58,77,2
"MER5C",164,88,48,258,468,74
"MER61-int",117,64,67,627,885,107
"MER61A",29,21,26,115,59,22
"MER61B",50,29,0,14,33,9
"MER61C",27,7,0,32,18,0
"MER61D",22,6,61,30,43,24
"MER61E",31,18,0,14,34,16
"MER61F",23,11,0,34,31,28
"MER63A",196,86,83,377,495,179
"MER63B",212,81,78,264,363,71
"MER63C",98,70,88,67,95,87
"MER63D",160,72,21,119,145,143
"MER65-int",124,48,80,218,213,56
"MER65A",108,71,46,216,218,572
"MER65B",32,12,0,3,32,11
"MER65C",53,79,31,102,70,22
"MER65D",46,31,12,38,39,2
"MER66-int",109,47,0,321,462,307
"MER66A",66,52,34,213,191,3505
"MER66B",108,26,45,263,328,465
"MER66C",59,23,59,100,74,21
"MER66D",30,13,9,1,21,0
"MER67A",87,87,70,43,210,72
"MER67B",99,58,58,65,20,4
"MER67C",227,115,99,127,262,313
"MER67D",26,30,19,163,311,266
"MER68-int",230,148,76,28,5,9
"MER68",599,237,283,539,1394,78
"MER68B",148,42,133,148,222,18
"MER6",124,75,50,165,256,4
"MER6A",173,94,4,131,142,35
"MER6B",105,55,46,104,140,3
"MER6C",18,10,9,16,5,0
"MER70-int",109,79,20,18,34,28
"MER70A",45,12,0,175,199,425
"MER70B",15,6,0,47,24,0
"MER70C",15,2,53,54,41,9
"MER72",200,86,77,70,88,42
"MER72B",6,10,0,15,22,5
"MER73",21,4,8,51,40,11
"MER74A",188,82,65,394,438,102
"MER74B",102,54,29,200,106,63
"MER74C",23,21,0,12,13,9
"MER75",37,30,2,14,47,18
"MER75A",2,0,0,2,1,0
"MER75B",14,11,12,1,3,0
"MER76-int",35,12,20,19,3,0
"MER76",37,14,28,44,62,3
"MER77",289,127,144,267,334,133
"MER77B",202,86,166,249,315,149
"MER81",336,147,148,223,337,33
"MER83",53,14,9,468,438,936
"MER83A-int",3,5,0,247,235,39
"MER83B-int",29,2,15,16,140,2
"MER83B",52,26,50,5,4,0
"MER83C",13,7,0,25,4,1
"MER84-int",5,0,8,13,9,0
"MER84",24,6,43,71,81,136
