"GM18558","GM18960","GM19240","Guchi","Jaqo","Jingjing"
"ENSG00000244405",13,8,20,3,11,5
"ENSG00000109180",78,109,75,34,47,28
"ENSG00000115073",28,43,13,16,31,7
"ENSG00000154305",31,29,44,11,21,14
"ENSG00000114988",11,17,44,15,17,16
"ENSG00000164182",43,49,116,24,13,109
"ENSG00000163472",1,3,12,2,2,2
"ENSG00000169679",13,46,58,7,6,52
"ENSG00000184371",17,10,52,5,26,7
"ENSG00000168883",35,56,44,34,28,75
"ENSG00000175416",20,19,10,53,46,183
"ENSG00000115421",9,12,28,4,8,10
"ENSG00000163636",125,235,133,79,73,80
"ENSG00000076003",27,111,36,58,27,45
"ENSG00000163399",401,563,312,96,107,16
"ENSG00000143727",72,80,126,31,52,79
"ENSG00000162604",30,23,115,12,9,12
"ENSG00000116580",15,18,37,7,11,9
"ENSG00000211456",26,28,40,15,23,13
"ENSG00000162836",10,11,18,9,15,14
"ENSG00000163159",29,65,41,23,16,24
"ENSG00000075151",22,26,52,20,20,22
"ENSG00000116584",49,52,29,22,36,5
"ENSG00000183513",18,20,14,12,21,49
"ENSG00000168884",37,36,47,50,51,103
"ENSG00000164022",82,103,63,73,67,88
"ENSG00000083857",3,2,1,23,5,9
"ENSG00000162607",38,53,64,17,18,1
"ENSG00000143442",18,20,40,9,24,1
"ENSG00000062194",47,47,43,40,42,20
"ENSG00000164104",160,236,242,82,90,168
"ENSG00000179152",5,6,29,5,4,31
"ENSG00000143643",12,13,21,6,11,14
"ENSG00000132680",47,33,28,12,28,7
"ENSG00000121892",35,47,43,22,31,10
"ENSG00000135900",52,99,42,39,47,9
"ENSG00000162813",19,43,36,14,20,10
"ENSG00000079150",3,5,17,5,7,15
"ENSG00000131778",19,34,49,12,16,8
"ENSG00000121897",15,16,17,6,16,3
"ENSG00000164164",16,11,56,3,12,4
"ENSG00000135919",4,3,5,14,23,10
"ENSG00000225921",140,180,134,56,119,192
"ENSG00000163808",4,13,28,3,3,9
"ENSG00000138777",40,77,101,25,26,36
"ENSG00000170476",10,50,128,18,11,65
"ENSG00000205302",112,130,92,44,59,32
"ENSG00000162852",15,18,80,5,9,8
"ENSG00000123983",17,24,27,11,16,12
"ENSG00000087274",56,79,89,39,52,90
"ENSG00000116815",52,94,101,26,40,34
"ENSG00000028310",22,24,27,15,21,13
"ENSG00000143119",143,206,215,75,84,10
"ENSG00000151353",32,24,11,6,5,11
"ENSG00000180104",31,37,39,29,23,42
"ENSG00000114850",119,130,178,71,57,174
"ENSG00000145979",13,23,38,10,12,53
"ENSG00000145687",20,27,29,9,29,7
"ENSG00000116670",52,67,82,28,35,162
"ENSG00000143164",63,51,51,31,41,26
"ENSG00000164329",46,39,50,13,38,16
"ENSG00000113569",14,24,29,7,12,22
"ENSG00000143507",33,34,15,5,9,9
"ENSG00000049656",50,94,92,53,54,70
"ENSG00000117133",69,96,79,35,42,77
"ENSG00000143093",12,23,24,16,16,9
"ENSG00000131503",30,30,24,11,18,29
"ENSG00000067704",40,80,46,28,34,5
"ENSG00000188725",50,90,64,45,44,11
"ENSG00000116685",64,31,28,16,28,29
"ENSG00000143155",96,112,73,29,48,32
"ENSG00000129187",36,40,78,35,61,18
"ENSG00000164039",21,29,21,5,16,21
"ENSG00000090686",66,64,62,22,37,38
"ENSG00000071073",2,1,18,3,4,13
"ENSG00000115355",11,16,25,16,16,11
"ENSG00000112149",53,40,23,57,47,11
