"GM18558","GM18960","GM19240","Judith","Leo","Maryke"
"ENSG00000110955",572,837,589,1050,438,528
"ENSG00000100060",26,52,46,43,2,18
"ENSG00000067066",30,54,69,58,40,40
"ENSG00000132388",29,41,59,56,29,72
"ENSG00000141858",69,78,18,75,17,25
"ENSG00000013503",6,5,28,14,4,7
"ENSG00000164649",5,15,24,17,9,4
"ENSG00000164327",7,5,11,6,5,7
"ENSG00000144476",20,15,4,59,20,18
"ENSG00000007047",19,24,26,14,17,6
"ENSG00000065989",13,12,33,26,18,10
"ENSG00000095951",16,15,20,21,13,19
"ENSG00000177731",58,62,51,74,41,27
"ENSG00000120910",41,42,67,66,38,30
"ENSG00000213689",6,9,10,17,17,1
"ENSG00000198168",33,92,34,11,6,10
"ENSG00000129116",3,2,1,7,12,4
"ENSG00000181192",9,17,9,7,4,4
"ENSG00000118420",8,6,15,6,7,4
"ENSG00000117305",16,30,36,40,19,10
"ENSG00000086200",15,25,17,15,6,19
"ENSG00000128203",19,6,30,11,7,1
"ENSG00000164347",22,34,44,30,15,21
"ENSG00000170242",40,31,78,73,41,22
"ENSG00000085871",14,12,32,26,4,11
"ENSG00000119777",37,50,66,64,30,19
"ENSG00000116337",18,23,25,38,11,11
"ENSG00000132952",13,13,15,13,9,13
"ENSG00000105835",203,154,96,207,104,156
"ENSG00000104299",19,35,35,31,28,20
"ENSG00000198331",9,15,28,12,6,26
"ENSG00000173548",3,3,16,4,2,2
"ENSG00000182093",10,16,9,21,19,14
"ENSG00000149541",27,42,7,19,13,11
"ENSG00000135439",10,14,20,26,10,6
"ENSG00000109016",20,16,6,27,20,9
"ENSG00000141127",47,60,79,45,28,45
"ENSG00000113971",15,26,42,4,3,4
"ENSG00000113013",330,484,212,399,220,208
"ENSG00000118816",102,106,155,123,72,93
"ENSG00000206562",12,14,46,16,13,7
"ENSG00000120509",33,53,19,51,29,17
"ENSG00000108055",71,95,27,95,43,34
"ENSG00000107874",83,126,117,98,45,40
"ENSG00000123836",3,2,1,3,7,12
"ENSG00000157456",18,69,79,27,3,19
"ENSG00000110958",291,310,384,6,5,11
"ENSG00000065882",17,27,64,33,22,17
"ENSG00000086589",39,32,58,65,45,26
"ENSG00000075303",9,28,71,28,13,14
"ENSG00000115216",167,166,167,169,104,88
"ENSG00000108788",38,52,31,49,33,32
"ENSG00000137714",18,25,3,30,14,4
"ENSG00000103061",14,12,48,31,13,11
"ENSG00000101150",26,32,62,42,30,41
"ENSG00000154447",9,8,19,29,20,3
"ENSG00000108039",29,37,29,66,21,34
"ENSG00000130699",11,18,29,21,6,5
"ENSG00000181038",8,20,100,27,17,13
