"baseMean","log2FoldChange","lfcSE","pvalue","padj"
"AluYa5",95.2865911879313,-4.27520328983242,0.761683361376562,2.01053529038939e-09,5.99139516536039e-08
"AluYa8",13.0654541972019,0.3899922171467,0.863856069610584,0.452392284250635,0.649981470896055
"AluYb8",90.1159838834104,-5.20575248823239,0.719551957654871,5.87687058301026e-14,4.37826858434264e-12
"AluYb9",10.7421111523614,-0.333904347064279,0.906770193883467,0.481920181033946,0.672132046559045
"AluYc3",72.5150786091784,-0.571460459878483,0.572966341081198,0.227969651069895,0.412560461652806
"AluYc",829.478591382734,1.30134566145943,0.434341037655427,0.00104216425039103,0.00665496314178271
"AluYd8",5.77731982366137,-0.669278567479193,1.29816803897758,0.0717205876217146,0.176636987427284
"AluYg6",33.6197025757409,0.0111496425521276,0.633050105630836,0.985622793148845,0.994013081887668
"AluYh9",9.53868898473197,0.408385190971577,0.871531055451899,0.431214657234965,0.629729301330006
"AluYk11",27.9414662714706,-4.34148924326217,0.904214880089562,1.86765100739741e-07,3.88297674561228e-06
"AluYk12",2.20112986892142,-0.291394223613174,1.07709862958075,0.151194917725011,0.303748890890247
"AluYk4",104.327430788912,-1.27876208179273,0.508968047867232,0.00432264534503745,0.0203718355860463
"AmnSINE1",111.303245230583,1.38113928588359,1.04691382771578,0.0393044417978571,0.113348938604143
"Arthur1",161.843681449551,1.38105835912624,0.62318910027474,0.0083772108097598,0.0346723447403947
"Arthur1A",64.8232912544235,-0.312698971191716,0.431623322087755,0.420616202749576,0.620513011977098
"Arthur1B",132.070932122193,0.904398788835737,0.561082621807016,0.0570109389846515,0.147732694064575
"Arthur1C",19.4027734327216,0.0465687607502247,0.783260218095272,0.930740466376886,0.968663535437644
"BLACKJACK",275.143471595658,0.581733815236098,0.34104328901679,0.0697632963539647,0.172765614793475
"BSR/Beta",163.06842094863,-1.31688713655559,0.574498321587461,0.00715594506557256,0.0310554120806887
"CER",31.5960367381588,-9.59907413338671,3.02581509651036,6.30696317993554e-10,2.08830558624532e-08
"CR1_Mam",172.267811078629,-1.51031645777234,0.85936925065871,0.0170345405864204,0.0583481964914169
"Charlie10",218.045561381363,0.212652080780278,0.537641872727419,0.645171198950788,0.790113769673978
"Charlie10a",17.02761320396,-0.0265154399952427,0.787907508639311,0.953644693692197,0.988995998472187
"Charlie10b",20.9582385662804,-0.938919857846923,0.920019172085648,0.115690854809126,0.254747842855562
"Charlie11",6.2001351629541,0.0630258358623764,0.848127097426951,0.898599966272374,0.945115729232356
"Charlie12",29.1904309555705,-2.08870632918369,2.2193158911134,0.0131402955781942,0.0479486703955333
"Charlie13a",33.1340453924493,-0.486722941979171,0.829838781476996,0.361251896929357,0.563175169621353
"Charlie13b",33.325974009176,-1.74679127284463,0.767838808668668,0.00411307807046122,0.01966359248659
"Charlie14a",58.0663889775427,1.61417467927766,1.09143009720108,0.0230000568913644,0.073294066463602
"Charlie15a",300.619975950936,-0.271218780351748,0.420190050910896,0.47632858651698,0.667457298348244
"Charlie16a",131.150959725506,-0.495064417903502,0.369156444747473,0.148347594620587,0.299840453058854
"Charlie17a",93.466318589177,-1.41199946987331,0.718644050148251,0.0134704037150086,0.048625816945473
"Charlie18a",217.058270906612,-1.18033415096277,0.49994287879665,0.00745868678799851,0.0322128791713559
"Charlie19a",202.487904664759,-2.49517777261417,0.558886514525332,1.06031694630884e-06,1.9345374489798e-05
"Charlie1",342.09732694094,-0.10547741669831,0.560352159203047,0.817138923647227,0.898551288733851
"Charlie1a",1120.24506727388,0.0946901450787577,0.372901014440001,0.783141963364681,0.876296778518716
"Charlie1b",259.218517737604,-0.700922800816862,0.318991342004059,0.0200149112316752,0.0662715949671024
