"gene","Judith","Leo","Maryke"
"199","ENSPTRG00000000528",18,10,7
"200","ENSPTRG00000000529",9,4,10
"201","ENSPTRG00000000531",34,27,23
"202","ENSPTRG00000000533",66,35,36
"203","ENSPTRG00000000534",72,44,27
"204","ENSPTRG00000000535",105,82,60
"205","ENSPTRG00000000538",38,30,12
"206","ENSPTRG00000000539",10,27,5
"207","ENSPTRG00000000541",118,56,36
"208","ENSPTRG00000000544",27,23,12
"209","ENSPTRG00000000546",58,32,33
"210","ENSPTRG00000000549",74,39,38
"211","ENSPTRG00000000551",15,10,5
"212","ENSPTRG00000000557",63,32,19
"213","ENSPTRG00000000559",145,62,66
"214","ENSPTRG00000000560",9,5,14
"215","ENSPTRG00000000561",67,30,37
"216","ENSPTRG00000000563",793,326,384
"217","ENSPTRG00000000564",88,84,55
"218","ENSPTRG00000000565",30,10,38
"219","ENSPTRG00000000566",4,1,14
"220","ENSPTRG00000000568",377,141,185
"221","ENSPTRG00000000573",151,122,104
"222","ENSPTRG00000000577",67,25,35
"223","ENSPTRG00000000578",2,8,1
"224","ENSPTRG00000000579",24,15,12
"225","ENSPTRG00000000581",30,11,10
"226","ENSPTRG00000000583",316,206,154
"227","ENSPTRG00000000584",87,67,40
"228","ENSPTRG00000000585",9,4,8
"229","ENSPTRG00000000587",46,30,36
"230","ENSPTRG00000000589",125,92,37
"231","ENSPTRG00000000591",4,2,11
"232","ENSPTRG00000000594",3,1,5
"233","ENSPTRG00000000596",30,16,13
"234","ENSPTRG00000000599",79,24,22
"235","ENSPTRG00000000601",10,7,9
"236","ENSPTRG00000000603",6,6,4
"237","ENSPTRG00000000606",21,17,13
"238","ENSPTRG00000000607",7,7,4
"239","ENSPTRG00000000614",111,43,23
"240","ENSPTRG00000000617",40,17,14
"241","ENSPTRG00000000618",22,10,10
"242","ENSPTRG00000000620",17,17,22
"243","ENSPTRG00000000623",17,12,7
"244","ENSPTRG00000000625",134,67,59
"245","ENSPTRG00000000634",24,2,11
"246","ENSPTRG00000000635",86,41,39
"247","ENSPTRG00000000636",57,28,47
"248","ENSPTRG00000000639",16,5,7
"249","ENSPTRG00000000641",5,3,2
"250","ENSPTRG00000000643",19,13,9
"251","ENSPTRG00000000644",13,3,11
"252","ENSPTRG00000000646",44,20,28
"253","ENSPTRG00000000648",194,149,83
"254","ENSPTRG00000000649",47,27,6
"255","ENSPTRG00000000655",34,21,22
"256","ENSPTRG00000000656",65,54,19
"257","ENSPTRG00000000658",19,2,4
"258","ENSPTRG00000000659",1399,1066,899
"259","ENSPTRG00000000662",28,10,12
"260","ENSPTRG00000000665",17,7,12
"261","ENSPTRG00000000667",48,29,17
"262","ENSPTRG00000000668",62,24,32
"263","ENSPTRG00000000672",18,8,16
"264","ENSPTRG00000000673",7,4,19
"265","ENSPTRG00000000674",6,7,2
"266","ENSPTRG00000000675",802,574,606
"267","ENSPTRG00000000676",187,70,103
"268","ENSPTRG00000000677",139,32,60
"269","ENSPTRG00000000680",62,38,41
"270","ENSPTRG00000000681",23,24,28
"271","ENSPTRG00000000683",14,4,5
"272","ENSPTRG00000000685",25,4,9
"273","ENSPTRG00000000686",1,3,1
"274","ENSPTRG00000000687",53,16,18
"275","ENSPTRG00000000689",7,3,8
"276","ENSPTRG00000000690",77,30,21
"277","ENSPTRG00000000691",131,111,167
"278","ENSPTRG00000000692",14,7,25
"279","ENSPTRG00000000693",3,2,15
"280","ENSPTRG00000000701",57,35,46
"281","ENSPTRG00000000711",6,2,7
"282","ENSPTRG00000000712",191,132,146
"283","ENSPTRG00000000725",47,31,18
"284","ENSPTRG00000000726",39,28,2
"285","ENSPTRG00000000728",3,2,2
"286","ENSPTRG00000000729",93,70,56
"287","ENSPTRG00000000730",101,66,63
"288","ENSPTRG00000000731",136,69,84
"289","ENSPTRG00000000733",21,26,15
"290","ENSPTRG00000000735",52,26,22
"291","ENSPTRG00000000736",4,2,6
"292","ENSPTRG00000000737",53,39,20
"293","ENSPTRG00000000738",12,3,12
"294","ENSPTRG00000000739",79,54,19
"295","ENSPTRG00000000740",19,13,15
"296","ENSPTRG00000000741",8,3,3
"297","ENSPTRG00000000745",28,10,24
"298","ENSPTRG00000000746",4,2,8
"299","ENSPTRG00000000747",12,4,17
"300","ENSPTRG00000000748",42,17,21
"301","ENSPTRG00000000749",42,31,37
"302","ENSPTRG00000000754",18,6,12
"303","ENSPTRG00000000757",12,4,5
"304","ENSPTRG00000000759",18,14,16
"305","ENSPTRG00000000762",3,2,4
"306","ENSPTRG00000000763",29,25,39
"307","ENSPTRG00000000764",143,91,86
"308","ENSPTRG00000000769",134,64,50
"309","ENSPTRG00000000770",62,16,28
"310","ENSPTRG00000000779",69,50,16
"311","ENSPTRG00000000784",19,16,14
"312","ENSPTRG00000000787",1,1,4
"313","ENSPTRG00000000796",15,6,14
"314","ENSPTRG00000000799",3,2,10
"315","ENSPTRG00000000803",30,27,11
"316","ENSPTRG00000000806",6,4,12
"317","ENSPTRG00000000810",62,15,21
"318","ENSPTRG00000000811",16,7,12
"319","ENSPTRG00000000813",24,14,33
