"gene","GM18558","GM18960","GM19240"
"338","ENSG00000039319",14,6,16
"339","ENSG00000039523",40,25,10
"340","ENSG00000039650",12,16,8
"341","ENSG00000040199",5,5,16
"342","ENSG00000040275",17,29,18
"343","ENSG00000040341",11,18,30
"344","ENSG00000040487",5,5,14
"345","ENSG00000040531",8,10,25
"346","ENSG00000040633",40,31,77
"347","ENSG00000040933",6,16,35
"348","ENSG00000041357",107,202,138
"349","ENSG00000041802",35,31,48
"350","ENSG00000041880",11,17,21
"351","ENSG00000041988",13,13,30
"352","ENSG00000042088",27,32,45
"353","ENSG00000042286",44,52,31
"354","ENSG00000042317",3,4,14
"355","ENSG00000042429",40,36,24
"356","ENSG00000042445",7,18,27
"357","ENSG00000042493",85,134,29
"358","ENSG00000042753",58,94,95
"359","ENSG00000043093",31,35,24
"360","ENSG00000043143",22,26,40
"361","ENSG00000043462",15,21,15
"362","ENSG00000043514",26,25,68
"363","ENSG00000044090",9,10,27
"364","ENSG00000044115",83,107,53
"365","ENSG00000044446",7,7,39
"366","ENSG00000044459",2,2,41
"367","ENSG00000044574",343,446,341
"368","ENSG00000046604",15,8,38
"369","ENSG00000046647",13,24,2
"370","ENSG00000046651",37,23,29
"371","ENSG00000047056",7,6,19
"372","ENSG00000047188",12,13,27
"373","ENSG00000047230",12,21,32
"374","ENSG00000047249",50,63,39
"375","ENSG00000047315",120,113,86
"376","ENSG00000047346",14,10,33
"377","ENSG00000047365",14,11,14
"378","ENSG00000047410",55,82,55
"379","ENSG00000047578",6,6,28
"380","ENSG00000047579",26,28,47
"381","ENSG00000047621",14,18,30
"382","ENSG00000047644",4,8,10
"383","ENSG00000047648",7,12,27
"384","ENSG00000047849",52,66,66
"385","ENSG00000047932",11,11,44
"386","ENSG00000048028",7,13,13
"387","ENSG00000048052",2,4,46
"388","ENSG00000048140",10,13,40
"389","ENSG00000048392",23,24,18
"390","ENSG00000048405",21,18,18
"391","ENSG00000048471",8,13,24
"392","ENSG00000048544",50,61,78
"393","ENSG00000048649",12,12,20
"394","ENSG00000048707",6,6,22
"395","ENSG00000048740",25,29,58
"396","ENSG00000048828",39,69,43
"397","ENSG00000048991",19,34,50
"398","ENSG00000049089",20,37,12
"399","ENSG00000049167",9,15,28
"400","ENSG00000049449",100,110,81
"401","ENSG00000049541",30,97,60
"402","ENSG00000049618",8,15,34
"403","ENSG00000049656",50,94,92
"404","ENSG00000049759",39,23,52
"405","ENSG00000049769",3,3,46
"406","ENSG00000049860",46,58,66
"407","ENSG00000049883",3,7,18
"408","ENSG00000050393",25,37,65
"409","ENSG00000050405",12,15,19
"410","ENSG00000050426",18,19,78
"411","ENSG00000050438",2,1,19
"412","ENSG00000050730",1,3,18
"413","ENSG00000050748",20,29,22
"414","ENSG00000050820",38,15,8
"415","ENSG00000051009",12,13,20
"416","ENSG00000051108",190,140,245
"417","ENSG00000051180",7,40,24
"418","ENSG00000051382",8,16,30
"419","ENSG00000051523",106,174,58
"420","ENSG00000051596",42,86,22
"421","ENSG00000051825",5,13,21
"422","ENSG00000052723",19,16,1
"423","ENSG00000052749",41,37,31
"424","ENSG00000052802",85,104,70
"425","ENSG00000052841",26,22,40
"426","ENSG00000053254",5,6,24
"427","ENSG00000053371",29,36,46
"428","ENSG00000053372",73,128,31
"429","ENSG00000053501",23,14,10
"430","ENSG00000053747",2,3,38
"431","ENSG00000053770",59,61,34
"432","ENSG00000053900",17,26,40
"433","ENSG00000054116",35,56,34
"434","ENSG00000054118",82,66,43
"435","ENSG00000054148",31,38,45
"436","ENSG00000054179",6,5,7
"437","ENSG00000054267",25,21,32
"438","ENSG00000054282",3,13,20
"439","ENSG00000054523",3,4,17
"440","ENSG00000054611",21,40,67
"441","ENSG00000054654",13,16,34
"442","ENSG00000054967",14,28,14
"443","ENSG00000054983",7,4,20
"444","ENSG00000055044",144,136,164
"445","ENSG00000055070",37,33,46
"446","ENSG00000055130",72,86,87
"447","ENSG00000055147",13,16,24
"448","ENSG00000055163",60,69,72
"449","ENSG00000055208",33,41,32
"450","ENSG00000055211",36,44,63
"451","ENSG00000055332",22,27,43
"452","ENSG00000055483",26,20,32
"453","ENSG00000055609",12,11,21
"454","ENSG00000055917",29,36,38
"455","ENSG00000055950",10,16,18
"456","ENSG00000056050",16,39,21
"457","ENSG00000056097",47,67,66
"458","ENSG00000056558",135,199,218
"459","ENSG00000056586",9,14,25
"460","ENSG00000056661",40,44,1
"461","ENSG00000056736",79,57,39
"462","ENSG00000057252",83,62,40
"463","ENSG00000057608",171,286,200
"464","ENSG00000057657",3,16,76
"465","ENSG00000057757",47,59,45
"466","ENSG00000057935",18,21,36
"467","ENSG00000058063",24,22,32
"468","ENSG00000058085",1,1,34
"469","ENSG00000058091",6,11,17
"470","ENSG00000058262",82,108,131
"471","ENSG00000058272",32,37,49
"472","ENSG00000058453",2,2,1
"473","ENSG00000058600",26,31,27
"474","ENSG00000058673",68,50,61
"475","ENSG00000058799",16,21,51
"476","ENSG00000058804",7,21,34
"477","ENSG00000059122",4,9,17
"478","ENSG00000059378",23,13,12
"479","ENSG00000059573",48,64,40
"480","ENSG00000059588",12,23,41
"481","ENSG00000059691",16,27,43
"482","ENSG00000059728",6,9,37
"483","ENSG00000059758",36,29,27
"484","ENSG00000059804",16,17,32
"485","ENSG00000060069",6,14,16
"486","ENSG00000060138",212,229,122
"487","ENSG00000060237",54,51,49
"488","ENSG00000060339",63,65,72
"489","ENSG00000060491",54,27,33
"490","ENSG00000060558",15,30,15
"491","ENSG00000060642",4,9,19
"492","ENSG00000060688",54,114,49
"493","ENSG00000060749",9,10,25
"494","ENSG00000060762",62,71,83
"495","ENSG00000060971",35,54,59
"496","ENSG00000060982",15,23,43
"497","ENSG00000061273",2,4,16
"498","ENSG00000061656",12,4,10
"499","ENSG00000061676",13,12,45
"500","ENSG00000061794",70,93,91
"501","ENSG00000061918",35,17,49
"502","ENSG00000061936",22,15,45
"503","ENSG00000061938",5,8,17
"504","ENSG00000061987",9,11,27
"505","ENSG00000062194",47,47,43
"506","ENSG00000062282",21,21,33
"507","ENSG00000062485",77,114,104
"508","ENSG00000062598",24,35,42
"509","ENSG00000062650",36,51,33
"510","ENSG00000062716",43,38,46
"511","ENSG00000062725",18,19,21
"512","ENSG00000062822",14,32,12
"513","ENSG00000063046",129,221,200
"514","ENSG00000063176",12,15,9
"515","ENSG00000063177",1088,1248,1551
"516","ENSG00000063180",7,11,14
"517","ENSG00000063241",27,49,23
"518","ENSG00000063244",117,140,101
"519","ENSG00000063245",8,15,14
"520","ENSG00000063322",18,34,42
"521","ENSG00000063438",12,12,27
"522","ENSG00000063601",10,13,41
"523","ENSG00000063761",2,4,17
"524","ENSG00000063854",22,32,43
"525","ENSG00000063978",32,39,51
"526","ENSG00000064102",41,68,71
"527","ENSG00000064115",18,44,20
"528","ENSG00000064225",6,15,34
"529","ENSG00000064313",19,26,53
"530","ENSG00000064393",8,7,15
"531","ENSG00000064419",62,82,80
