"gene","Guchi","Jaqo","Jingjing"
"246","ENSPPYG00000000776",41,50,6
"247","ENSPPYG00000000778",87,114,23
"248","ENSPPYG00000000783",101,92,190
"249","ENSPPYG00000000784",59,49,15
"250","ENSPPYG00000000785",41,51,40
"251","ENSPPYG00000000787",154,262,40
"252","ENSPPYG00000000789",225,692,305
"253","ENSPPYG00000000790",1,159,179
"254","ENSPPYG00000000791",46,77,317
"255","ENSPPYG00000000792",5,19,15
"256","ENSPPYG00000000793",34,50,4
"257","ENSPPYG00000000794",28,57,23
"258","ENSPPYG00000000795",7,18,5
"259","ENSPPYG00000000796",2,2,8
"260","ENSPPYG00000000797",25,43,11
"261","ENSPPYG00000000800",196,191,138
"262","ENSPPYG00000000802",14,29,10
"263","ENSPPYG00000000808",2,33,748
"264","ENSPPYG00000000810",4,106,858
"265","ENSPPYG00000000848",303,327,891
"266","ENSPPYG00000000850",12,25,83
"267","ENSPPYG00000000851",20,17,20
"268","ENSPPYG00000000857",77,74,30
"269","ENSPPYG00000000860",3,6,8
"270","ENSPPYG00000000861",3,4,10
"271","ENSPPYG00000000862",5,8,41
"272","ENSPPYG00000000864",11,28,1
"273","ENSPPYG00000000865",267,302,1434
"274","ENSPPYG00000000867",25,32,17
"275","ENSPPYG00000000868",25,24,6
"276","ENSPPYG00000000869",9,11,4
"277","ENSPPYG00000000871",207,175,403
"278","ENSPPYG00000000872",18,23,12
"279","ENSPPYG00000000873",27,19,28
"280","ENSPPYG00000000874",21,29,66
"281","ENSPPYG00000000875",5,9,14
"282","ENSPPYG00000000878",1,3,11
"283","ENSPPYG00000000880",60,78,41
"284","ENSPPYG00000000886",75,89,12
"285","ENSPPYG00000000887",10,20,15
"286","ENSPPYG00000000888",24,31,7
"287","ENSPPYG00000000890",22,61,11
"288","ENSPPYG00000000893",93,80,162
"289","ENSPPYG00000000894",39,46,28
"290","ENSPPYG00000000897",2,5,13
"291","ENSPPYG00000000898",15,22,19
