"name","family","class","Judith","Leo","Maryke"
"257","Kanga1d","TcMar-Tc2","DNA",42,23,19
"258","Kanga2_a","TcMar-Tc2","DNA",659,278,169
"259","L1HS","L1","LINE",109,51,14
"260","L1M1","L1","LINE",8127,1953,1835
"261","L1M2","L1","LINE",2954,1054,869
"262","L1M2a1","L1","LINE",50,1,3
"263","L1M2a","L1","LINE",774,293,292
"264","L1M2b","L1","LINE",147,8,6
"265","L1M2c","L1","LINE",2272,1435,807
"266","L1M3","L1","LINE",3880,1320,938
"267","L1M3a","L1","LINE",350,91,120
"268","L1M3b","L1","LINE",419,205,139
"269","L1M3c","L1","LINE",530,261,128
"270","L1M3d","L1","LINE",364,117,87
"271","L1M3de","L1","LINE",127,30,23
"272","L1M3e","L1","LINE",145,55,39
"273","L1M3f","L1","LINE",264,122,42
"274","L1M4","L1","LINE",7834,3819,2200
"275","L1M4a1","L1","LINE",618,198,122
"276","L1M4a2","L1","LINE",900,525,262
"277","L1M4b","L1","LINE",2079,767,438
"278","L1M4c","L1","LINE",1488,536,328
"279","L1M5","L1","LINE",16656,7236,4585
"280","L1M6","L1","LINE",1990,768,664
"281","L1M6B","L1","LINE",62,17,10
"282","L1M7","L1","LINE",1129,550,449
"283","L1M8","L1","LINE",610,382,256
"284","L1M","L1","LINE",92,45,34
"285","L1MA10","L1","LINE",1772,686,491
"286","L1MA1","L1","LINE",12039,8662,4913
"287","L1MA2","L1","LINE",6005,2207,1523
"288","L1MA3","L1","LINE",9634,3658,2575
"289","L1MA4","L1","LINE",10942,4535,3292
"290","L1MA4A","L1","LINE",8898,4816,2317
"291","L1MA5","L1","LINE",2351,1070,1506
"292","L1MA5A","L1","LINE",2079,900,598
"293","L1MA6","L1","LINE",5006,1630,1173
"294","L1MA7","L1","LINE",5414,2447,1825
"295","L1MA8","L1","LINE",6685,3270,1802
"296","L1MA9","L1","LINE",8423,4267,2301
"297","L1MB1","L1","LINE",1842,681,437
"298","L1MB2","L1","LINE",3821,1307,1069
"299","L1MB3","L1","LINE",7568,3325,1787
"300","L1MB4","L1","LINE",4390,2113,1393
"301","L1MB5","L1","LINE",6592,2656,1719
"302","L1MB7","L1","LINE",11197,4745,2855
"303","L1MB8","L1","LINE",15123,7787,5014
"304","L1MC1","L1","LINE",8535,3861,2181
"305","L1MC2","L1","LINE",4317,1215,1029
"306","L1MC3","L1","LINE",9559,4010,2535
"307","L1MC4","L1","LINE",8593,4024,2497
"308","L1MC4a","L1","LINE",3469,1412,933
"309","L1MC5","L1","LINE",5069,1990,1379
"310","L1MC5a","L1","LINE",5897,2189,1341
"311","L1MC","L1","LINE",2582,1055,770
"312","L1MCa","L1","LINE",7935,3112,1835
"313","L1MCb","L1","LINE",693,221,201
"314","L1MCc","L1","LINE",1095,287,211
"315","L1MD1","L1","LINE",3533,1433,944
