"name","family","class","Judith","Leo","Maryke"
"1080","THE1C-int","ERVL-MaLR","LTR",1595,423,408
"1081","THE1C","ERVL-MaLR","LTR",2209,824,691
"1082","THE1D-int","ERVL-MaLR","LTR",1355,548,387
"1083","THE1D","ERVL-MaLR","LTR",3685,1587,1321
"1084","Tigger10","TcMar-Tigger","DNA",330,233,84
"1085","Tigger11a","TcMar-Tigger","DNA",118,21,4
"1086","Tigger12","TcMar-Tigger","DNA",245,85,59
"1087","Tigger12A","TcMar-Tigger","DNA",105,38,8
"1088","Tigger12c","TcMar-Tigger","DNA",115,40,23
"1089","Tigger13a","TcMar-Tigger","DNA",1184,415,227
"1090","Tigger14a","TcMar-Tigger","DNA",178,33,112
"1091","Tigger15a","TcMar-Tigger","DNA",1423,582,482
"1092","Tigger16a","TcMar-Tigger","DNA",643,261,447
"1093","Tigger16b","TcMar-Tigger","DNA",625,369,281
"1094","Tigger17","TcMar-Tigger","DNA",23,13,2
"1095","Tigger17a","TcMar-Tigger","DNA",1618,800,321
"1096","Tigger17b","TcMar-Tigger","DNA",18,3,3
"1097","Tigger17c","TcMar-Tigger","DNA",183,77,75
"1098","Tigger17d","TcMar-Tigger","DNA",17,7,5
"1099","Tigger18a","TcMar-Tigger","DNA",231,110,79
"1100","Tigger19a","TcMar-Tigger","DNA",888,468,354
"1101","Tigger19b","TcMar-Tigger","DNA",1842,785,466
"1102","Tigger1","TcMar-Tigger","DNA",11425,5222,3718
"1103","Tigger1a_Art","TcMar-Tigger","DNA",10,3,2
"1104","Tigger1a_Mars","TcMar-Tigger","DNA",3,2,0
"1105","Tigger20a","TcMar-Tigger","DNA",244,85,85
"1106","Tigger21a","TcMar-Tigger","DNA",51,13,14
"1107","Tigger22N1","TcMar-Tigger","DNA",427,158,88
"1108","Tigger23a","TcMar-Tigger","DNA",207,113,84
"1109","Tigger2","TcMar-Tigger","DNA",915,321,261
"1110","Tigger2a","TcMar-Tigger","DNA",795,226,277
"1111","Tigger2b_Pri","TcMar-Tigger","DNA",735,246,165
"1112","Tigger3","TcMar-Tigger","DNA",537,176,123
"1113","Tigger3a","TcMar-Tigger","DNA",2207,1239,812
"1114","Tigger3b","TcMar-Tigger","DNA",3519,1676,1470
"1115","Tigger3c","TcMar-Tigger","DNA",492,202,126
"1116","Tigger3d","TcMar-Tigger","DNA",39,15,6
"1117","Tigger4","TcMar-Tigger","DNA",1017,374,276
"1118","Tigger4a","TcMar-Tigger","DNA",3289,1967,1549
"1119","Tigger4b","TcMar-Tigger","DNA",1165,483,369
"1120","Tigger5","TcMar-Tigger","DNA",1305,684,642
"1121","Tigger5b","TcMar-Tigger","DNA",201,100,28
"1122","Tigger6","TcMar-Tigger","DNA",8,6,0
"1123","Tigger6a","TcMar-Tigger","DNA",719,336,135
"1124","Tigger6b","TcMar-Tigger","DNA",14,2,4
"1125","Tigger7","TcMar-Tigger","DNA",1189,392,286
"1126","Tigger8","TcMar-Tigger","DNA",723,401,330
"1127","Tigger9a","TcMar-Tigger","DNA",439,121,49
"1128","Tigger9b","TcMar-Tigger","DNA",193,59,67
"1129","UCON100","hAT-hAT19","DNA",0,0,0
"1130","UCON101","UCON101","Unknown",38,7,10
"1131","UCON103","LTR","LTR?",15,4,0
"1132","UCON105","hAT","DNA",43,21,6
"1133","UCON11","TcMar-Tigger","DNA",1,0,4
"1134","UCON12","UCON12","Unknown",40,18,7
"1135","UCON12A","UCON12A","Unknown",4,3,0
"1136","UCON14","DNA","DNA",15,9,0
"1137","UCON15","hAT-Ac","DNA",4,7,0
"1138","UCON16","UCON16","Unknown",1,0,0
"1139","UCON17","UCON17","Unknown",1,1,0
"1140","UCON18","UCON18","Unknown",0,0,0
"1141","UCON19","UCON19","Unknown",8,3,0
"1142","UCON1","UCON1","Unknown",34,5,2
"1143","UCON20","UCON20","Unknown",0,4,0
"1144","UCON21","DNA","DNA",5,1,4
"1145","UCON22","UCON22","Unknown",7,4,0
"1146","UCON23","hAT-Tip100","DNA",23,0,1
"1147","UCON24","UCON24","Unknown",0,0,0
"1148","UCON25","UCON25","Unknown",14,4,0
"1149","UCON26","hAT-Ac","DNA",16,8,1
"1150","UCON28a","UCON28a","Unknown",7,3,0
"1151","UCON28b","UCON28b","Unknown",24,7,4
"1152","UCON28c","UCON28c","Unknown",9,5,0
"1153","UCON29","Kolobok","DNA",345,207,100
"1154","UCON2","DNA","DNA",30,53,8
"1155","UCON31","UCON31","Unknown",8,6,0
"1156","UCON33","TcMar-Tigger","DNA",43,26,13
"1157","UCON34","hAT-Charlie","DNA",56,24,25
"1158","UCON35","DNA","DNA",8,7,0
"1159","UCON37","hAT-Ac","DNA",31,22,4
"1160","UCON38","hAT-Charlie","DNA",31,11,6
"1161","UCON39","TcMar-Tigger","DNA",6,1,0
"1162","UCON40","TcMar-Mariner","DNA",103,37,29
"1163","UCON41","UCON41","Unknown",57,15,7
"1164","UCON44","TcMar-Tigger","DNA",63,28,16
"1165","UCON47","UCON47","Unknown",35,2,0
"1166","UCON48","UCON48","Unknown",31,10,0
"1167","UCON4","DNA","DNA",57,38,9
"1168","UCON51","LTR","LTR?",78,32,32
"1169","UCON55","TcMar-Tigger","DNA",40,19,15
"1170","UCON56","UCON56","Unknown",1,0,0
"1171","UCON57","UCON57","Unknown",0,0,0
"1172","UCON58","DNA","DNA",27,3,2
"1173","UCON59","DNA","DNA",10,7,0
"1174","UCON5","UCON5","Unknown",16,0,0
"1175","UCON60","UCON60","Unknown",9,0,0
"1176","UCON61","UCON61","Unknown",4,2,0
"1177","UCON62","DNA","DNA",0,1,0
"1178","UCON63","UCON63","Unknown",15,7,10
"1179","UCON64","UCON64","Unknown",4,2,5
"1180","UCON65","UCON65","Unknown",0,0,0
"1181","UCON66","UCON66","Unknown",6,2,0
"1182","UCON67","UCON67","Unknown",0,0,0
"1183","UCON68","UCON68","Unknown",0,0,0
"1184","UCON6","UCON6","Unknown",0,6,0
"1185","UCON70","UCON70","Unknown",9,0,2
"1186","UCON71","UCON71","Unknown",9,4,0
"1187","UCON73","hAT","DNA",47,23,14
"1188","UCON75","UCON75","Unknown",4,3,0
"1189","UCON76","UCON76","Unknown",60,45,3
"1190","UCON78","DNA","DNA",42,11,30
"1191","UCON7","DNA","DNA",5,1,0
"1192","UCON80","hAT-Blackjack","DNA",11,0,0
"1193","UCON81","hAT-Charlie","DNA",0,0,0
"1194","UCON83","DNA","DNA",28,3,0
"1195","UCON84","UCON84","Unknown",12,4,0
"1196","UCON85","UCON85","Unknown",18,5,16
"1197","UCON86","L2","LINE",30,9,6
"1198","UCON87","UCON87","Unknown",1,1,0
"1199","UCON87B","UCON87B","Unknown",3,1,0
"1200","UCON88","UCON88","Unknown",112,55,0
"1201","UCON89","hAT","DNA",7,4,0
"1202","UCON8","DNA","DNA",36,36,27
"1203","UCON92","UCON92","Unknown",0,0,0
"1204","UCON93","UCON93","Unknown",1,0,0
"1205","UCON94","UCON94","Unknown",0,0,0
"1206","UCON96","UCON96","Unknown",1,0,0
"1207","UCON97","DNA","DNA",3,1,0
"1208","UCON99","Helitron","RC?",0,1,0
"1209","UCON9","UCON9","Unknown",2,0,10
"1210","UCON9B","UCON9B","Unknown",7,0,0
"1211","X10b_DNA","TcMar-Tigger","DNA",31,20,8
"1212","X11_DNA","TcMar-Tigger","DNA",17,2,5
"1213","X12_DNA","TcMar-Tigger","DNA",521,248,49
"1214","X12_LINE","I-Jockey","LINE",525,302,157
"1215","X13_LINE","L2","LINE",27,16,5
"1216","X15_LINE","L2","LINE",226,99,22
"1217","X17_LINE","CR1","LINE",268,82,29
"1218","X1_DNA","TcMar-Tigger","DNA",229,96,73
"1219","X1_LINE","CR1","LINE",89,29,27
"1220","X1_LR","Gypsy","LTR",3,2,0
"1221","X20_LINE","CR1","LINE",37,14,5
"1222","X21_LINE","CR1","LINE",3,1,0
"1223","X22_DNA","TcMar","DNA",0,0,0
"1224","X23_DNA","DNA","DNA",2,2,0
"1225","X24_DNA","DNA","DNA",51,24,1
"1226","X24_LINE","L2","LINE",197,103,31
"1227","X26_DNA","TcMar-Tigger","DNA",164,63,18
"1228","X2_LINE","CR1","LINE",2938,1960,607
"1229","X2a_DNA","DNA","DNA",36,12,16
"1230","X2b_DNA","DNA","DNA",21,6,0
"1231","X30_DNA","DNA","DNA",202,65,59
"1232","X32_DNA","TcMar-Tc1","DNA",23,8,19
"1233","X33a_DNA","TcMar-Tc1","DNA",3,0,0
"1234","X34_DNA","DNA","DNA",0,0,0
"1235","X4a_DNA","TcMar-Tigger","DNA",46,13,3
"1236","X4b_DNA","TcMar-Tigger","DNA",180,45,42
"1237","X5B_LINE","CR1","LINE",13,8,5
"1238","X5a_DNA","TcMar-Tigger","DNA",77,21,12
"1239","X6A_LINE","CR1","LINE",172,69,38
"1240","X6a_DNA","TcMar-Tigger","DNA",253,77,41
"1241","X6b_DNA","TcMar-Tigger","DNA",61,29,43
"1242","X7A_LINE","CR1","LINE",244,111,80
"1243","X7B_LINE","CR1","LINE",109,51,19
"1244","X7C_LINE","CR1","LINE",299,120,76
"1245","X7D_LINE","CR1","LINE",0,1,0
"1246","X8_LINE","CR1","LINE",23,2,0
"1247","X9_LINE","L1","LINE",92,43,41
"1248","X9a_DNA","DNA","DNA",110,34,22
"1249","X9b_DNA","TcMar-Tigger","DNA",116,52,26
"1250","Zaphod2","hAT-Tip100","DNA",83,29,7
"1251","Zaphod3","hAT-Tip100","DNA",791,439,333
"1252","Zaphod4a","hAT-Tip100","DNA",584,280,105
"1253","Zaphod5a","hAT-Tip100","DNA",157,52,62
"1254","Zaphod5b","hAT-Tip100","DNA",25,19,0
"1255","Zaphod","hAT-Tip100","DNA",451,171,59
"1256","hAT-1_Mam","hAT-Tag1","DNA",522,151,139
"1257","hAT-4b_Ther","hAT-Tip100","DNA",117,85,30
"1258","hAT-5_Mam","hAT-Tag1","DNA",887,467,352
"1259","hAT-N1_Mam","hAT-Tip100","DNA",27,6,6
"1260","hAT-N1a_Mam","hAT-Tip100","DNA",173,89,57
